# Data from Minecraft Wiki @ https://minecraft.fandom.com/wiki/Java_Edition_data_values#Items
# Select *all* table data cells to clone info.

 Acacia Boat	acacia_boat
 Magenta Dye	magenta_dye
 Magma Cream	magma_cream
 Magma Cube Spawn Egg	magma_cube_spawn_egg
 Empty Map	map
 Melon Seeds	melon_seeds
 Melon Slice	melon_slice
 Milk Bucket	milk_bucket
 Minecart	minecart
 Banner Pattern (Thing)	mojang_banner_pattern
 Mooshroom Spawn Egg	mooshroom_spawn_egg
 Mule Spawn Egg	mule_spawn_egg
 Mushroom Stew	mushroom_stew
 Music Disc (5)	music_disc_5
 Music Disc (11)	music_disc_11
 Music Disc (13)	music_disc_13
 Music Disc (blocks)	music_disc_blocks
 Music Disc (cat)	music_disc_cat
 Music Disc (chirp)	music_disc_chirp
 Music Disc (far)	music_disc_far
 Music Disc (mall)	music_disc_mall
 Music Disc (mellohi)	music_disc_mellohi
 Music Disc (otherside)	music_disc_otherside
 Music Disc (Pigstep)	music_disc_pigstep
 Music Disc (Relic)	music_disc_relic
 Music Disc (stal)	music_disc_stal
 Music Disc (strad)	music_disc_strad
 Music Disc (wait)	music_disc_wait
 Music Disc (ward)	music_disc_ward
 Raw Mutton	mutton
 Name Tag	name_tag
 Nautilus Shell	nautilus_shell
 Nether Brick	nether_brick
 Nether Star	nether_star
 Netherite Axe	netherite_axe
 Netherite Boots	netherite_boots
 Netherite Chestplate	netherite_chestplate
 Netherite Helmet	netherite_helmet
 Netherite Hoe	netherite_hoe
 Netherite Ingot	netherite_ingot
 Netherite Leggings	netherite_leggings
 Netherite Pickaxe	netherite_pickaxe
 Netherite Scrap	netherite_scrap
 Netherite Shovel	netherite_shovel
 Netherite Sword	netherite_sword
 Oak Boat	oak_boat
 Ocelot Spawn Egg	ocelot_spawn_egg
 Orange Dye	orange_dye
 Painting	painting
 Panda Spawn Egg	panda_spawn_egg
 Paper	paper
 Parrot Spawn Egg	parrot_spawn_egg
 Phantom Membrane	phantom_membrane
 Phantom Spawn Egg	phantom_spawn_egg
 Pig Spawn Egg	pig_spawn_egg
 Piglin Brute Spawn Egg	piglin_brute_spawn_egg
 Piglin Spawn Egg	piglin_spawn_egg
 Pillager Spawn Egg	pillager_spawn_egg
 Pink Dye	pink_dye
 Poisonous Potato	poisonous_potato
 Polar Bear Spawn Egg	polar_bear_spawn_egg
 Popped Chorus Fruit	popped_chorus_fruit
 Raw Porkchop	porkchop
 Potato	potato
 Potion	potion
 Powder Snow Bucket	powder_snow_bucket
 Prismarine Crystals	prismarine_crystals
 Prismarine Shard	prismarine_shard
 Pufferfish	pufferfish
 Bucket of Pufferfish	pufferfish_bucket
 Pufferfish Spawn Egg	pufferfish_spawn_egg
 Pumpkin Pie	pumpkin_pie
 Pumpkin Seeds	pumpkin_seeds
 Purple Dye	purple_dye
 Nether Quartz	quartz
 Raw Rabbit	rabbit
 Rabbit's Foot	rabbit_foot
 Rabbit Hide	rabbit_hide
 Rabbit Spawn Egg	rabbit_spawn_egg
 Rabbit Stew	rabbit_stew
 Ravager Spawn Egg	ravager_spawn_egg
 Raw Copper	raw_copper
 Raw Gold	raw_gold
 Raw Iron	raw_iron
 Red Dye	red_dye
 Redstone Dust	redstone
 Rotten Flesh	rotten_flesh
 Saddle	saddle
 Raw Salmon	salmon
 Bucket of Salmon	salmon_bucket
 Salmon Spawn Egg	salmon_spawn_egg
 Scute	scute
 Shears	shears
 Sheep Spawn Egg	sheep_spawn_egg
 Shield	shield
 Shulker Shell	shulker_shell
 Shulker Spawn Egg	shulker_spawn_egg
 Silverfish Spawn Egg	silverfish_spawn_egg
 Skeleton Horse Spawn Egg	skeleton_horse_spawn_egg
 Skeleton Spawn Egg	skeleton_spawn_egg
 Banner Pattern (Skull Charge)	skull_banner_pattern
 Slimeball	slime_ball
 Slime Spawn Egg	slime_spawn_egg
 Snowball	snowball
 Spectral Arrow	spectral_arrow
 Spider Eye	spider_eye
 Spider Spawn Egg	spider_spawn_egg
 Splash Potion	splash_potion
 Spruce Boat	spruce_boat
 Spyglass	spyglass
 Squid Spawn Egg	squid_spawn_egg
 Stick	stick
 Stone Axe	stone_axe
 Stone Hoe	stone_hoe
 Stone Pickaxe	stone_pickaxe
 Stone Shovel	stone_shovel
 Stone Sword	stone_sword
 Stray Spawn Egg	stray_spawn_egg
 Strider Spawn Egg	strider_spawn_egg
 String	string
 Sugar	sugar
 Suspicious Stew	suspicious_stew
 Sweet Berries	sweet_berries
 Tipped Arrow	tipped_arrow
 Minecart with TNT	tnt_minecart
 Totem of Undying	totem_of_undying
 Trader Llama Spawn Egg	trader_llama_spawn_egg
 Trident	trident
 Tropical Fish	tropical_fish
 Bucket of Tropical Fish	tropical_fish_bucket
 Tropical Fish Spawn Egg	tropical_fish_spawn_egg
 Turtle Shell	turtle_helmet
 Turtle Spawn Egg	turtle_spawn_egg
 Vex Spawn Egg	vex_spawn_egg
 Villager Spawn Egg	villager_spawn_egg
 Vindicator Spawn Egg	vindicator_spawn_egg
 Wandering Trader Spawn Egg	wandering_trader_spawn_egg
 Warped Fungus on a Stick	warped_fungus_on_a_stick
 Water Bucket	water_bucket
 Wheat	wheat
 Wheat Seeds	wheat_seeds
 White Dye	white_dye
 Witch Spawn Egg	witch_spawn_egg
 Wither Skeleton Spawn Egg	wither_skeleton_spawn_egg
 Wolf Spawn Egg	wolf_spawn_egg
 Wooden Axe	wooden_axe
 Wooden Hoe	wooden_hoe
 Wooden Pickaxe	wooden_pickaxe
 Wooden Shovel	wooden_shovel
 Wooden Sword	wooden_sword
 Book and Quill	writable_book
 Written Book	written_book
 Yellow Dye	yellow_dye
 Zoglin Spawn Egg	zoglin_spawn_egg
 Zombie Horse Spawn Egg	zombie_horse_spawn_egg
 Zombie Spawn Egg	zombie_spawn_egg
 Zombie Villager Spawn Egg	zombie_villager_spawn_egg
 Zombified Piglin Spawn Egg	zombified_piglin_spawn_egg
 Bucket of Tadpole	tadpole_bucket
 Disc Fragment	disc_fragment_5
 Echo Shard	echo_shard
 Goat Horn	goat_horn
 Mangrove Boat	mangrove_boat
 Recovery Compass	recovery_compass
 Allay Spawn Egg	allay_spawn_egg
 Frog Spawn Egg	frog_spawn_egg
 Tadpole Spawn Egg	tadpole_spawn_egg
 Warden Spawn Egg	warden_spawn_egg
 Oak Boat with Chest	oak_chest_boat
 Spruce Boat with Chest	spruce_chest_boat
 Birch Boat with Chest	birch_chest_boat
 Jungle Boat with Chest	jungle_chest_boat
 Acacia Boat with Chest	acacia_chest_boat
 Dark Oak Boat with Chest	dark_oak_chest_boat
 Mangrove Boat with Chest	mangrove_chest_boat
 Nether Wart	nether_wart
 Banner Pattern (Snout)	piglin_banner_pattern
 Ender Dragon Spawn Egg	ender_dragon_spawn_egg
 Iron Golem Spawn Egg	iron_golem_spawn_egg
 Snow Golem Spawn Egg	snow_golem_spawn_egg
 Wither Spawn Egg	wither_spawn_egg
 Brush	brush
 Pitcher Pod	pitcher_pod
 Angler Pottery Sherd	angler_pottery_sherd
 Archer Pottery Sherd	archer_pottery_sherd
 Arms Up Pottery Sherd	arms_up_pottery_sherd
 Blade Pottery Sherd	blade_pottery_sherd
 Brewer Pottery Sherd	brewer_pottery_sherd
 Burn Pottery Sherd	burn_pottery_sherd
 Danger Pottery Sherd	danger_pottery_sherd
 Explorer Pottery Sherd	explorer_pottery_sherd
 Friend Pottery Sherd	friend_pottery_sherd
 Heart Pottery Sherd	heart_pottery_sherd
 Heartbreak Pottery Sherd	heartbreak_pottery_sherd
 Howl Pottery Sherd	howl_pottery_sherd
 Miner Pottery Sherd	miner_pottery_sherd
 Mourner Pottery Sherd	mourner_pottery_sherd
 Plenty Pottery Sherd	plenty_pottery_sherd
 Prize Pottery Sherd	prize_pottery_sherd
 Sheaf Pottery Sherd	sheaf_pottery_sherd
 Shelter Pottery Sherd	shelter_pottery_sherd
 Skull Pottery Sherd	skull_pottery_sherd
 Snort Pottery Sherd	snort_pottery_sherd
 Smithing Template (Netherite Upgrade)	netherite_upgrade_smithing_template
 Smithing Template (Coast Armor Trim)	coast_armor_trim_smithing_template
 Smithing Template (Dune Armor Trim)	dune_armor_trim_smithing_template
 Smithing Template (Eye Armor Trim)	eye_armor_trim_smithing_template
 Smithing Template (Host Armor Trim)	host_armor_trim_smithing_template
 Smithing Template (Raiser Armor Trim)	raiser_armor_trim_smithing_template
 Smithing Template (Rib Armor Trim)	rib_armor_trim_smithing_template
 Smithing Template (Sentry Armor Trim)	sentry_armor_trim_smithing_template
 Smithing Template (Shaper Armor Trim)	shaper_armor_trim_smithing_template
 Smithing Template (Silence Armor Trim)	silence_armor_trim_smithing_template
 Smithing Template (Snout Armor Trim)	snout_armor_trim_smithing_template
 Smithing Template (Spire Armor Trim)	spire_armor_trim_smithing_template
 Smithing Template (Tide Armor Trim)	tide_armor_trim_smithing_template
 Smithing Template (Vex Armor Trim)	vex_armor_trim_smithing_template
 Smithing Template (Ward Armor Trim)	ward_armor_trim_smithing_template
 Smithing Template (Wayfinder Armor Trim)	wayfinder_armor_trim_smithing_template
 Smithing Template (Wild Armor Trim)	wild_armor_trim_smithing_template
 Camel Spawn Egg	camel_spawn_egg
 Sniffer Spawn Egg	sniffer_spawn_egg
 Torchflower Seeds	torchflower_seeds
